asset_id,document_id,old_colors
meghna_female_ethnic_laender_pastel_saree,meghna_female_ethnic_laender_pastel_,
meghna_female_ethnic_chiliredsleevelesslehenga,meghna_female_ethnic_chiliredsleevel,
meghna_female_dress_offshouldercreammididress,meghna_female_dress_offshouldercream,
meghna_female_dress_denim_dress,meghna_female_dress_denim_dress,
meghna_female_dress_barbiepinkboatneckdress,meghna_female_dress_barbiepinkboatne,
meghna_female_bottom_medium_denim_shorts_high_waisted,meghna_female_bottom_medium_denim_sh,
meghna_female_bottom_denim_skirt_short,meghna_female_bottom_denim_skirt_sho,
meghna_female_bottom_acid_wash_jeans,meghna_female_bottom_acid_wash_jeans,
mens_assets_tops_burgendyhalfhandsshirt,mens_assets_tops_burgendyhalfhandssh,
hm_mens_flip_flops_c958dc1fb6,hm_mens_flip_flops_c958dc1fb6,
hm_mens_flip_flops_d94ceff338,hm_mens_flip_flops_d94ceff338,
hm_mens_flip_flops_5e00b50314,hm_mens_flip_flops_5e00b50314,
hm_mens_hoodie_sweatshirt_959d3f283a,hm_mens_hoodie_sweatshirt_959d3f283a,
hm_mens_hoodie_sweatshirt_72a8ec2d1a,hm_mens_hoodie_sweatshirt_72a8ec2d1a,
hm_mens_hoodie_sweatshirt_51da325845,hm_mens_hoodie_sweatshirt_51da325845,
hm_mens_hoodie_sweatshirt_359477b5a3,hm_mens_hoodie_sweatshirt_359477b5a3,
hm_mens_jacket_333fb1012a,hm_mens_jacket_333fb1012a,
hm_mens_jacket_ef23870578,hm_mens_jacket_ef23870578,
hm_mens_shorts_c640aa68c9,hm_mens_shorts_c640aa68c9,
hm_mens_shorts_f85a963fd0,hm_mens_shorts_f85a963fd0,
hm_mens_jeans_8f8ce99db5,hm_mens_jeans_8f8ce99db5,
hm_mens_jeans_c9300fa8b8,hm_mens_jeans_c9300fa8b8,
hm_mens_jeans_e7e7b878b8,hm_mens_jeans_e7e7b878b8,
hm_mens_jeans_53f59a62af,hm_mens_jeans_53f59a62af,
hm_mens_t_shirt_22945aa8c1,hm_mens_t_shirt_22945aa8c1,
