asset_id,action,reason,proposed,current,status
meghna_female_ethnic_laender_pastel_saree,updated,high-conf,pink,,ok
meghna_female_ethnic_chiliredsleevelesslehenga,updated,high-conf,red,,ok
meghna_female_dress_offshouldercreammididress,updated,high-conf,cream,,ok
meghna_female_dress_denim_dress,updated,high-conf,blue,,ok
meghna_female_dress_barbiepinkboatneckdress,updated,high-conf,pink,,ok
meghna_female_bottom_medium_denim_shorts_high_waisted,updated,high-conf,blue,,ok
meghna_female_bottom_denim_skirt_short,updated,high-conf,blue,,ok
meghna_female_bottom_acid_wash_jeans,updated,high-conf,blue,,ok
mens_assets_tops_burgendyhalfhandsshirt,updated,high-conf,burgundy,,ok
hm_mens_flip_flops_c958dc1fb6,updated,high-conf,blue,,ok
hm_mens_flip_flops_d94ceff338,updated,high-conf,grey,,ok
hm_mens_flip_flops_5e00b50314,updated,high-conf,orange,,ok
hm_mens_hoodie_sweatshirt_959d3f283a,updated,high-conf,blue,,ok
hm_mens_hoodie_sweatshirt_72a8ec2d1a,updated,high-conf,black,,ok
hm_mens_hoodie_sweatshirt_51da325845,updated,high-conf,grey,,ok
hm_mens_hoodie_sweatshirt_359477b5a3,updated,high-conf,black,,ok
hm_mens_jacket_333fb1012a,updated,high-conf,orange,,ok
hm_mens_jacket_ef23870578,updated,high-conf,blue,,ok
hm_mens_shorts_c640aa68c9,updated,high-conf,grey,,ok
hm_mens_shorts_f85a963fd0,updated,high-conf,grey,,ok
hm_mens_jeans_8f8ce99db5,updated,high-conf,grey,,ok
hm_mens_jeans_c9300fa8b8,updated,high-conf,grey,,ok
hm_mens_jeans_e7e7b878b8,updated,high-conf,blue,,ok
hm_mens_jeans_53f59a62af,updated,high-conf,blue,,ok
hm_mens_t_shirt_22945aa8c1,updated,high-conf,black,,ok
