asset_id,document_id,old_status,predicted_type
meghna_female_accessory_travelweighingscale,meghna_female_accessory_travelweighi,active,appliance
meghna_female_accessory_travelfileorganiser,meghna_female_accessory_travelfileor,active,travel_utility
meghna_female_accessory_pink_handfan,meghna_female_accessory_pink_handfan,active,electronics_gadget
meghna_female_accessory_mouthfreshener,meghna_female_accessory_mouthfreshen,active,hygiene
meghna_female_accessory_medicalkit,meghna_female_accessory_medicalkit,active,medical
meghna_female_accessory_documentholder,meghna_female_accessory_documenthold,active,travel_utility
mens_assets_travel_wireless_earphones,mens_assets_travel_wireless_earphone,active,electronics_gadget
mens_assets_travel_white_powerbank,mens_assets_travel_white_powerbank,active,electronics_gadget
mens_assets_travel_travelweighingscale,mens_assets_travel_travelweighingsca,active,appliance
mens_assets_travel_mouthfreshener,mens_assets_travel_mouthfreshener,active,hygiene
mens_assets_travel_medicalkit,mens_assets_travel_medicalkit,active,medical
mens_assets_travel_handfan,mens_assets_travel_handfan,active,electronics_gadget
mens_assets_travel_documentholder,mens_assets_travel_documentholder,active,travel_utility
mens_assets_travel_c_type_charger,mens_assets_travel_c_type_charger,active,electronics_gadget
mens_assets_travel_blue_neck_pillow,mens_assets_travel_blue_neck_pillow,active,medical
mens_assets_travel_black_powerbank,mens_assets_travel_black_powerbank,active,electronics_gadget
mens_assets_skincare_toothpaste,mens_assets_skincare_toothpaste,active,hygiene
mens_assets_skincare_rollon,mens_assets_skincare_rollon,active,beauty_grooming
mens_assets_skincare_retinol,mens_assets_skincare_retinol,active,beauty_grooming
mens_assets_skincare_perfume,mens_assets_skincare_perfume,active,beauty_grooming
mens_assets_skincare_lipbalm,mens_assets_skincare_lipbalm,active,beauty_grooming
mens_assets_skincare_grooming_kit,mens_assets_skincare_grooming_kit,active,beauty_grooming
mens_assets_skincare_facewash,mens_assets_skincare_facewash,active,beauty_grooming
mens_assets_skincare_facemask,mens_assets_skincare_facemask,active,beauty_grooming
