asset_id,action,reason,old_status,status
meghna_female_accessory_travelweighingscale,deactivated,appliance,active,ok
meghna_female_accessory_travelfileorganiser,deactivated,travel_utility,active,ok
meghna_female_accessory_pink_handfan,deactivated,electronics_gadget,active,ok
meghna_female_accessory_mouthfreshener,deactivated,hygiene,active,ok
meghna_female_accessory_medicalkit,deactivated,medical,active,ok
meghna_female_accessory_documentholder,deactivated,travel_utility,active,ok
mens_assets_travel_wireless_earphones,deactivated,electronics_gadget,active,ok
mens_assets_travel_white_powerbank,deactivated,electronics_gadget,active,ok
mens_assets_travel_travelweighingscale,deactivated,appliance,active,ok
mens_assets_travel_mouthfreshener,deactivated,hygiene,active,ok
mens_assets_travel_medicalkit,deactivated,medical,active,ok
mens_assets_travel_handfan,deactivated,electronics_gadget,active,ok
mens_assets_travel_documentholder,deactivated,travel_utility,active,ok
mens_assets_travel_c_type_charger,deactivated,electronics_gadget,active,ok
mens_assets_travel_blue_neck_pillow,deactivated,medical,active,ok
mens_assets_travel_black_powerbank,deactivated,electronics_gadget,active,ok
mens_assets_skincare_toothpaste,deactivated,hygiene,active,ok
mens_assets_skincare_rollon,deactivated,beauty_grooming,active,ok
mens_assets_skincare_retinol,deactivated,beauty_grooming,active,ok
mens_assets_skincare_perfume,deactivated,beauty_grooming,active,ok
mens_assets_skincare_lipbalm,deactivated,beauty_grooming,active,ok
mens_assets_skincare_grooming_kit,deactivated,beauty_grooming,active,ok
mens_assets_skincare_facewash,deactivated,beauty_grooming,active,ok
mens_assets_skincare_facemask,deactivated,beauty_grooming,active,ok
