asset_id,asset_name,category,image_url,predicted_type,is_fashion_asset,confidence,reason
mens_assets_skincare_facemask,Mens Facemask,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/facemask.jpg,beauty_grooming,no,high,category=grooming
mens_assets_skincare_facewash,Mens Facewash,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/facewash.jpg,beauty_grooming,no,high,non-fashion keyword (beauty_grooming)
mens_assets_skincare_grooming_kit,Mens Grooming Kit,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/grooming kit.jpg,beauty_grooming,no,high,category=grooming
mens_assets_skincare_lipbalm,Mens Lipbalm,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/lipbalm.jpg,beauty_grooming,no,high,non-fashion keyword (beauty_grooming)
mens_assets_skincare_perfume,Mens Perfume,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/perfume.jpg,beauty_grooming,no,high,non-fashion keyword (beauty_grooming)
mens_assets_skincare_retinol,Mens Retinol,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/retinol.jpg,beauty_grooming,no,high,non-fashion keyword (beauty_grooming)
mens_assets_skincare_rollon,Mens Rollon,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/rollon.jpg,beauty_grooming,no,high,category=grooming
mens_assets_skincare_toothpaste,Mens Toothpaste,grooming,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/skincare/toothpaste.jpg,hygiene,no,high,non-fashion keyword (hygiene)
mens_assets_travel_black_powerbank,Mens Black Powerbank,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/black powerbank.jpg,electronics_gadget,no,high,non-fashion keyword (electronics_gadget)
mens_assets_travel_blue_neck_pillow,Mens Blue Neck Pillow,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/blue neck pillow.jpg,medical,no,high,non-fashion keyword (medical)
mens_assets_travel_c_type_charger,Mens C Type Charger,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/c type charger.jpg,electronics_gadget,no,high,non-fashion keyword (electronics_gadget)
mens_assets_travel_documentholder,Mens Documentholder,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/documentholder.jpg,travel_utility,no,high,non-fashion keyword (travel_utility)
mens_assets_travel_handfan,Mens Handfan,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/handfan.jpg,electronics_gadget,no,high,non-fashion keyword (electronics_gadget)
mens_assets_travel_medicalkit,Mens Medicalkit,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/medicalkit.jpg,medical,no,high,non-fashion keyword (medical)
mens_assets_travel_mouthfreshener,Mens Mouthfreshener,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/mouthfreshener.jpg,hygiene,no,high,non-fashion keyword (hygiene)
mens_assets_travel_travelweighingscale,Mens Travelweighingscale,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/travelweighingscale.jpg,appliance,no,high,non-fashion keyword (appliance)
mens_assets_travel_white_powerbank,Mens White Powerbank,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/white powerbank.jpg,electronics_gadget,no,high,non-fashion keyword (electronics_gadget)
mens_assets_travel_wireless_earphones,Mens Wireless Earphones,travel,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/mens-assets/travel/wireless earphones.jpg,electronics_gadget,no,high,non-fashion keyword (electronics_gadget)
