asset_id,name,category,subcategory,source_zip,source_filename,source_path_inside_zip,target_r2_key,target_public_url,needs_conversion,conversion_reason,notes
meghna_female_accessory_beige_shell_bag,Beige Shell Bag,accessory,bag,womens assets.zip,beige shell bag.jpg,womens assets/bags/beige shell bag.jpg,female-assets/accessory/beige_shell_bag.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/beige_shell_bag.jpg,false,,
meghna_female_accessory_black_card_case,Black Card Case,accessory,card_case,womens assets.zip,black card case.jpg,womens assets/bags/black card case.jpg,female-assets/accessory/black_card_case.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/black_card_case.jpg,false,,
meghna_female_accessory_black_clutch,Black Clutch,accessory,clutch,womens assets.zip,black clutch.jpg,womens assets/bags/black clutch.jpg,female-assets/accessory/black_clutch.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/black_clutch.jpg,false,,
meghna_female_accessory_black_top_handle_bag,Black Top Handle Bag,accessory,top_handle,womens assets.zip,black top handle bag.jpg,womens assets/bags/black top handle bag.jpg,female-assets/accessory/black_top_handle_bag.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/black_top_handle_bag.jpg,false,,
meghna_female_accessory_blue_card_case,Blue Card Case,accessory,card_case,womens assets.zip,blue card case.jpg,womens assets/bags/blue card case.jpg,female-assets/accessory/blue_card_case.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/blue_card_case.jpg,false,,
meghna_female_accessory_blue_wallet,Blue Wallet,accessory,wallet,womens assets.zip,blue wallet.jpg,womens assets/bags/blue wallet.jpg,female-assets/accessory/blue_wallet.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/blue_wallet.jpg,false,,
meghna_female_footwear_brown_sandals,Brown Sandals,footwear,sandal,womens assets.zip,brown sandals.jpg,womens assets/bags/brown sandals.jpg,female-assets/footwear/brown_sandals.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/footwear/brown_sandals.jpg,false,,
meghna_female_accessory_brown_shoulder_bag,Brown Shoulder Bag,accessory,shoulder_bag,womens assets.zip,brown shoulder bag.jpg,womens assets/bags/brown shoulder bag.jpg,female-assets/accessory/brown_shoulder_bag.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/brown_shoulder_bag.jpg,false,,
meghna_female_accessory_brown_wallet,Brown Wallet,accessory,wallet,womens assets.zip,brown wallet.jpg,womens assets/bags/brown wallet.jpg,female-assets/accessory/brown_wallet.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/brown_wallet.jpg,false,,
meghna_female_accessory_green_stripes_canvas_tote,Green Stripes Canvas Tote,accessory,tote,womens assets.zip,green stripes canvas tote.jpg,womens assets/bags/green stripes canvas tote.jpg,female-assets/accessory/green_stripes_canvas_tote.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/green_stripes_canvas_tote.jpg,false,,
meghna_female_accessory_grey_suede_bag,Grey Suede Bag,accessory,bag,womens assets.zip,grey suede bag.jpg,womens assets/bags/grey suede bag.jpg,female-assets/accessory/grey_suede_bag.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/grey_suede_bag.jpg,false,,
meghna_female_footwear_leopard_flipflops,Leopard Flipflops,footwear,flipflop,womens assets.zip,leopard flipflops.jpg,womens assets/bags/leopard flipflops.jpg,female-assets/footwear/leopard_flipflops.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/footwear/leopard_flipflops.jpg,false,,
meghna_female_accessory_light_brown_top_handle_bag,Light Brown Top Handle Bag,accessory,top_handle,womens assets.zip,light brown top handle bag.jpg,womens assets/bags/light brown top handle bag.jpg,female-assets/accessory/light_brown_top_handle_bag.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/light_brown_top_handle_bag.jpg,false,,
